,times,sst,sst_err,ftemp,wind,atemp,swrad,humid
471,696017.6799999595,302.9138131932419,1.0,303.2509340338703,1.2552732048607718,302.1226415645095,0.5,0.01
472,696027.6799999595,302.90953706948267,1.0,303.2473146526679,1.2687145358582406,302.12178050204597,0.5,0.01
473,696037.6799999595,302.9052609457234,1.0,303.2436952714656,1.282155866855709,302.1209194395825,0.5,0.01
474,696047.6799999595,302.9009848219642,1.0,303.2400758902632,1.2955971978531777,302.12005837711905,0.5,0.01
475,696057.6799999595,302.896708698205,1.0,303.2364565090608,1.309038528850646,302.1191973146556,0.5,0.01
476,696067.6799999595,302.8924325744457,1.0,303.2328371278585,1.322479859848115,302.11833625219214,0.5,0.01
477,696077.6799999595,302.8881564506865,1.0,303.2292177466561,1.3359211908455833,302.1174751897287,0.5,0.01
478,696087.6799999595,302.8838803269272,1.0,303.2255983654538,1.349362521843052,302.1166141272652,0.5,0.01
479,696097.6799999595,302.879604203168,1.0,303.2219789842514,1.3628038528405204,302.11575306480177,0.5,0.01
480,696107.6799999595,302.87532807940875,1.0,303.21835960304907,1.376245183837989,302.11489200233825,0.5,0.01
481,696117.6799999595,302.87105195564953,1.0,303.2147402218467,1.3896865148354576,302.1140309398748,0.5,0.01
482,696127.6799999595,302.86677583189027,1.0,303.21112084064436,1.4031278458329262,302.11316987741134,0.5,0.01
483,696137.6799999595,302.86249970813105,1.0,303.20750145944197,1.4165691768303947,302.1123088149479,0.5,0.01
484,696147.6799999595,302.8582235843718,1.0,303.20388207823964,1.4300105078278633,302.1114477524844,0.5,0.01
485,696152.8799999993,302.856,1.0,303.202,1.4369999999999998,302.111,0.5,0.01
486,696162.8799999993,302.85134442498565,1.0,303.1977676590779,1.4248137770001212,302.1090589608874,0.4985405720958229,0.01
487,696172.8799999993,302.8466888499714,1.0,303.1935353181558,1.4126275540002426,302.1071179217749,0.49708114419164584,0.01
488,696182.8799999993,302.84203327495703,1.0,303.18930297723364,1.400441331000364,302.1051768826623,0.49562171628746876,0.01
489,696192.8799999993,302.8373776999427,1.0,303.18507063631154,1.3882551080004855,302.1032358435498,0.4941622883832917,0.01
490,696202.8799999993,302.83272212492835,1.0,303.18083829538944,1.3760688850006069,302.1012948044372,0.4927028604791146,0.01
491,696212.8799999993,302.82806654991407,1.0,303.17660595446733,1.3638826620007283,302.0993537653247,0.4912434325749375,0.01
492,696222.8799999993,302.82341097489973,1.0,303.17237361354523,1.3516964390008497,302.0974127262121,0.4897840046707605,0.01
493,696232.8799999993,302.8187553998854,1.0,303.1681412726231,1.339510216000971,302.0954716870996,0.4883245767665834,0.01
494,696242.8799999993,302.81409982487105,1.0,303.163908931701,1.3273239930010927,302.093530647987,0.48686514886240634,0.01
495,696252.8799999993,302.80944424985677,1.0,303.1596765907789,1.3151377700012141,302.0915896088744,0.48540572095822926,0.01
496,696262.8799999993,302.8047886748424,1.0,303.15544424985677,1.3029515470013355,302.0896485697619,0.4839462930540522,0.01
497,696272.8799999993,302.8001330998281,1.0,303.15121190893467,1.290765324001457,302.0877075306493,0.4824868651498751,0.01
498,696282.8799999993,302.7954775248138,1.0,303.1469795680125,1.2785791010015783,302.0857664915368,0.481027437245698,0.01
499,696292.8799999993,302.79082194979947,1.0,303.1427472270904,1.2663928780016998,302.0838254524242,0.47956800934152094,0.01
500,696302.8799999993,302.7861663747851,1.0,303.1385148861683,1.2542066550018212,302.0818844133117,0.47810858143734386,0.01
501,696312.8799999993,302.7815107997708,1.0,303.1342825452462,1.2420204320019426,302.0799433741991,0.4766491535331668,0.01
