times,sst,sst_err,ftemp,wind,atemp,swrad,humid,boatspd
1072998.7200000302,296.793,0.1306849315068493,296.58799999999997,1.137,297.994,739.2,0.01,1.3
1073689.439999989,296.88,0.09994520547945206,297.36499999999995,0.978,298.069,761.4,0.01,0.6
1074380.0400000298,297.039,0.07704109589041096,298.11699999999996,0.876,297.955,779.7,0.01,0.6
1075079.27999998,297.408,0.06117808219178082,298.68699999999995,1.002,298.212,804.5,0.01,0.8
1075761.2400000182,296.716,0.06926027397260273,297.904,0.867,298.068,822.8,0.01,1.2
1076460.4799999734,297.22,0.07719178082191781,296.635,0.15,298.478,822.5,0.01,1.5
1077151.2000000204,297.327,0.13012328767123288,297.736,0.778,298.42,834.2,0.01,1.5
1079923.89600003,300.359,0.11142465753424659,296.49899999999997,1.056,300.624,814.0,0.01,2.0
1080623.5439999613,300.725,0.08589041095890411,296.42699999999996,0.853,300.348,839.0,0.01,1.9
1081323.191999981,300.4,0.04438356164383562,296.609,0.407,300.288,861.0,0.01,1.6
1082014.1999999979,300.414,0.09042465753424658,297.30699999999996,0.582,300.295,814.8,0.01,1.5
1082713.8480000175,299.165,0.12712328767123288,295.967,0.55,299.544,802.9,0.01,1.4
1083404.8560000393,299.584,0.1276986301369863,295.897,0.848,299.069,795.5,0.01,1.2
1084095.8639999726,299.395,0.07498630136986302,296.597,0.431,299.322,789.4,0.01,1.5
1084795.5119999922,300.252,0.07856164383561644,295.717,0.472,299.688,744.0,0.01,0.9
1085486.520000009,300.064,0.1047123287671233,295.176,0.662,299.471,771.3,0.01,1.0
1086177.528000031,299.902,0.09764383561643836,295.04499999999996,0.621,299.296,724.9,0.01,5.2
1086877.1999999802,298.684,0.13084931506849315,294.75699999999995,0.951,299.163,695.3,0.01,5.3
1087568.208000002,300.179,0.07643835616438356,295.30899999999997,0.5,299.564,634.2,0.01,0.9
1088267.8560000216,299.642,0.07364383561643835,295.45799999999997,1.139,299.692,603.4,0.01,2.2
1088958.8640000385,297.207,0.12156164383561643,295.15999999999997,1.859,299.453,604.0,0.01,0.7
1089649.8719999718,295.957,0.08,295.435,2.5,299.319,563.0,0.01,0.0
1090358.1599999892,297.867,0.09,295.95799999999997,2.4,299.732,519.9,0.01,0.0
1091057.9999999905,298.599,0.056589041095890406,296.519,3.038,299.631,484.6,0.01,0.7
1091749.1999999888,298.494,0.06961643835616439,297.726,2.428,299.931,440.5,0.01,0.8
1094551.5120000201,296.698,0.094,297.16999999999996,1.7,301.078,266.5,0.01,0.0
1097650.2720000383,297.602,0.12273972602739726,297.534,7.568,298.936,81.7,0.01,11.0
1099742.1599999822,297.176,0.21205479452054793,297.176,6.115,298.727,6.2,0.01,11.2
1100447.5199999907,296.585,0.14827397260273975,295.974,6.192,298.397,0.4,0.01,11.8
1101143.7599999618,296.096,0.05786301369863014,295.702,4.827,298.108,-0.7,0.01,3.0
1101835.1999999825,295.849,0.114,295.756,4.9,298.035,-0.4,0.01,0.0
1102535.280000001,295.864,0.11243835616438355,295.935,5.575,298.307,0.2,0.01,0.6
1103235.6000000369,296.461,0.11112328767123288,296.279,5.016,298.288,0.3,0.01,1.0
1103924.4000000185,296.651,0.09673972602739728,296.096,5.127,298.493,0.5,0.01,6.8
1104607.92000001,297.274,0.1491780821917808,297.029,6.539,299.056,0.8,0.01,9.6
1105308.2399999625,297.788,0.07202739726027398,297.667,5.155,298.46,0.4,0.01,9.3
1106000.4000000402,295.816,0.09863013698630137,295.832,6.62,298.253,0.5,0.01,9.4
1106683.4399999923,295.344,0.11961643835616438,295.426,6.173,298.311,0.5,0.01,9.0
1107367.07999999,295.365,0.14136986301369864,295.226,6.09,298.525,1.0,0.01,11.2
1108050.7199999928,298.443,0.1292054794520548,297.63399999999996,4.882,299.87,0.8,0.01,11.6
1110110.1599999827,300.981,0.11009589041095891,300.94899999999996,4.001,299.821,-0.5,0.01,2.5
1110813.624000027,300.907,0.10082191780821917,301.173,3.92,299.852,-0.4,0.01,1.4
1111508.4000000376,300.931,0.08898630136986302,301.01599999999996,5.125,299.841,0.0,0.01,5.7
1112203.17599996,300.709,0.17691780821917807,300.808,5.197,300.048,0.4,0.01,14.1
